Code,Category,Honda likely summary,Recommended Shop
P0000,Fuel pressure / fuel pump,No powertrain fault stored / no valid code present.,MP Motorwerks
P0001,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0002,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0003,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0004,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0005,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0006,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0007,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0008,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0009,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0010,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0011,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0012,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0013,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0014,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0015,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0016,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0017,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0018,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0019,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0020,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0021,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0022,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0023,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0024,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0025,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0026,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0027,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0028,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0029,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0030,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0031,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
